"","PANID","COLUPC","WEEK","UNITS","OUTLET","DOLLARS","IRI_KEY","L4","L5","VOL_EQ","COLOR","SIZE","ADDITIVES","NUMBER_OF_PLY","TYPE_OF_DISPENSER","per_unit_cost","per_sheet_cost","Panelist_Type","Combined_Income","Family_Size","HH_RACE","Type_Residential","Age_Group_Male","Education_Male","Occupation_Male","Male_Working_Hour","Age_Group_Female","Education_Female","Occupation_Female","Female_Working_Hour","No_Dogs","No_Cats","Children_Group_Code","Marital_Status","Is_pet","monetary","freq","day","M","F","R","cat"
"4101",1129403,23700062960,1127,1,"GR",4.99,652159,"PROCTER","PUFFS PL",4.32,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",4.99,0.011550926,0,8,3,1,1,7,9,11,1,1,4,13,1,1,0,1,1,1,9.98,2,1150,3,1,2,4
"4144",1129486,33700062405,1144,2,"GR",3.98,248128,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",1.99,0.013819444,0,6,1,1,2,1,7,1,0,7,9,11,1,0,0,0,1,0,3.98,1,1144,2,0,1,4
"4161",1129544,33700062405,1131,3,"GR",6.27,652159,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",2.09,0.014513889,0,10,3,1,1,6,7,10,1,6,5,10,1,0,0,0,2,0,8.36,2,1133,3,1,1,4
"4162",1129544,33700062405,1133,1,"GR",2.09,652159,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",2.09,0.014513889,0,10,3,1,1,6,7,10,1,6,5,10,1,0,0,0,2,0,8.36,2,1133,3,1,1,4
"4164",1129627,13700033549,1118,3,"GR",6.27,652159,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",2.09,0.009675926,0,5,2,1,1,7,9,11,1,5,6,10,1,0,1,0,4,1,6.27,1,1118,2,0,0,4
"4165",1129627,23700033566,1131,1,"GR",4.99,652159,"PROCTER","PUFFS",6.48,"WHITE","MISSING","NO LOTIO","2 PLY","TOP & SI",4.99,0.007700617,0,5,2,1,1,7,9,11,1,5,6,10,1,0,1,0,4,1,4.99,1,1131,2,0,0,4
"4174",1129692,23700062262,1120,1,"GR",1.99,259111,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,1,4,1,2,4,5,7,0,3,4,8,0,0,0,2,2,0,1.99,1,1120,1,0,0,4
"4220",1129882,33700062405,1118,1,"GR",2.09,652159,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",2.09,0.014513889,0,7,4,1,2,3,4,6,0,3,4,13,1,0,0,1,2,0,4.18,2,1118,2,1,0,4
"4221",1129882,33700062405,1118,1,"GR",2.09,652159,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",2.09,0.014513889,0,7,4,1,2,3,4,6,0,3,4,13,1,0,0,1,2,0,4.18,2,1118,2,1,0,4
"4239",1130021,23700033566,1121,1,"GR",4.99,234140,"PROCTER","PUFFS",6.48,"WHITE","MISSING","NO LOTIO","2 PLY","TOP & SI",4.99,0.007700617,0,10,2,1,2,6,7,10,1,6,8,4,0,1,0,0,2,1,4.99,1,1121,2,0,0,4
"4265",1130179,43700062811,1134,1,"GR",1.39,213290,"PROCTER","PUFFS AD",0.64,"WHITE","MISSING","MISSING","2 PLY","TOP OPEN",1.39,0.02171875,0,6,2,1,1,3,4,13,1,3,6,8,0,0,0,0,1,0,1.39,1,1134,0,0,1,4
"4267",1130195,13700033549,1115,1,"GR",1.99,213290,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",1.99,0.009212963,0,8,5,1,1,3,6,7,0,3,4,7,0,1,0,1,2,1,1.99,1,1115,1,0,0,4
"4277",1130252,33700062405,1134,1,"GR",2.08,248128,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",2.08,0.014444444,0,10,2,1,2,5,4,7,0,4,5,3,0,0,0,0,2,0,2.08,1,1134,1,0,1,4
"4334",1130815,13700033549,1137,1,"GR",2.09,652159,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",2.09,0.009675926,0,1,2,1,2,6,3,10,1,7,9,11,1,0,1,0,4,1,4.18,2,1137,2,1,1,4
"4335",1130815,13700033549,1129,1,"GR",2.09,652159,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",2.09,0.009675926,0,1,2,1,2,6,3,10,1,7,9,11,1,0,1,0,4,1,4.18,2,1137,2,1,1,4
"4409",1130963,23700062960,1123,1,"DR",3.49,8003043,"PROCTER","PUFFS PL",4.32,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",3.49,0.008078704,0,6,3,1,2,7,9,11,1,4,8,1,0,0,0,0,1,0,11.97,2,1123,3,1,0,4
"4410",1130963,23700062960,1123,2,"DR",8.48,8003059,"PROCTER","PUFFS PL",4.32,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",4.24,0.009814815,0,6,3,1,2,7,9,11,1,4,8,1,0,0,0,0,1,0,11.97,2,1123,3,1,0,4
"4411",1130963,33700062405,1151,1,"DR",1.5,8003043,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",1.5,0.010416667,0,6,3,1,2,7,9,11,1,4,8,1,0,0,0,0,1,0,1.5,1,1151,0,0,2,4
"4445",1131201,13700031680,1141,1,"GR",1.39,648764,"PROCTER","PUFFS PL",0.64,"WHITE","FULL SIZ","ALOE VER","2 PLY","TOP OPEN",1.39,0.02171875,0,12,2,1,2,4,7,1,0,4,8,1,0,0,1,0,2,1,1.39,1,1141,0,0,1,4
"4475",1131375,23700062262,1122,2,"GR",4.16,248128,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",2.08,0.014444444,0,3,1,1,1,7,9,11,1,3,5,1,0,1,1,0,1,1,4.16,1,1122,2,0,0,4
"4484",1131383,13700033549,1142,3,"GR",6.27,652159,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",2.09,0.009675926,0,9,2,1,2,1,7,7,0,2,8,3,0,0,0,0,3,0,6.27,1,1142,2,0,1,4
"4492",1131409,23700062262,1121,1,"GR",2.09,652159,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",2.09,0.014513889,0,8,3,1,2,4,5,5,0,3,5,1,0,0,1,2,2,1,4.18,2,1148,2,1,2,4
"4493",1131409,23700062262,1148,1,"GR",2.09,652159,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",2.09,0.014513889,0,8,3,1,2,4,5,5,0,3,5,1,0,0,1,2,2,1,4.18,2,1148,2,1,2,4
"4494",1131409,43700062811,1143,1,"GR",1.39,213290,"PROCTER","PUFFS AD",0.64,"WHITE","MISSING","MISSING","2 PLY","TOP OPEN",1.39,0.02171875,0,8,3,1,2,4,5,5,0,3,5,1,0,0,1,2,2,1,1.39,1,1143,0,0,1,4
"4512",1131466,23700062960,1121,1,"GR",4.99,652159,"PROCTER","PUFFS PL",4.32,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",4.99,0.011550926,0,12,4,1,2,4,5,7,0,3,5,2,0,0,0,1,2,0,4.99,1,1121,2,0,0,4
"4519",1131565,23700062262,1124,1,"GR",2.09,652159,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",2.09,0.014513889,0,7,3,1,2,5,4,7,0,5,4,7,0,0,1,0,2,1,2.09,1,1124,1,0,0,4
"4543",1131730,23700062262,1118,1,"GR",2.08,248128,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",2.08,0.014444444,0,10,3,1,2,7,9,11,1,3,5,1,0,1,1,2,5,1,2.08,1,1118,1,0,0,4
"4572",1131896,13700033549,1153,2,"GR",4.18,652159,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",2.09,0.009675926,0,4,2,1,1,6,4,10,1,6,4,10,1,0,0,0,2,0,4.18,1,1153,2,0,2,4
"4575",1131896,23700062262,1144,1,"GR",1.99,213290,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,4,2,1,1,6,4,10,1,6,4,10,1,0,0,0,2,0,3.98,2,1144,2,1,1,4
"4576",1131896,23700062262,1118,1,"GR",1.99,213290,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,4,2,1,1,6,4,10,1,6,4,10,1,0,0,0,2,0,3.98,2,1144,2,1,1,4
"4600",1132100,33700062405,1114,2,"GR",4.18,652159,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",2.09,0.014513889,0,2,1,1,1,7,9,11,1,6,3,10,1,0,0,0,4,0,4.18,1,1114,2,0,0,4
"4620",1132159,33700062405,1130,1,"GR",2.09,652159,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",2.09,0.014513889,0,9,4,1,2,5,6,4,0,4,6,1,0,1,1,2,2,1,2.09,1,1130,1,0,0,4
"4643",1132266,13700031680,1128,2,"GR",2.98,248128,"PROCTER","PUFFS PL",0.64,"WHITE","FULL SIZ","ALOE VER","2 PLY","TOP OPEN",1.49,0.02328125,0,12,6,1,2,4,6,6,0,3,7,3,0,0,0,1,2,0,2.98,1,1128,1,0,0,4
"4645",1132266,23700033566,1147,1,"GR",4.99,213290,"PROCTER","PUFFS",6.48,"WHITE","MISSING","NO LOTIO","2 PLY","TOP & SI",4.99,0.007700617,0,12,6,1,2,4,6,6,0,3,7,3,0,0,0,1,2,0,4.99,1,1147,2,0,2,4
"4652",1132266,23700062960,1139,1,"GR",4.99,213290,"PROCTER","PUFFS PL",4.32,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",4.99,0.011550926,0,12,6,1,2,4,6,6,0,3,7,3,0,0,0,1,2,0,4.99,1,1139,2,0,1,4
"4663",1132308,23700062262,1147,1,"GR",1.99,248128,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,6,3,1,1,7,9,11,1,4,6,2,0,0,1,0,3,1,1.99,1,1147,1,0,2,4
"4668",1132373,23700062262,1131,2,"GR",4.16,248128,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",2.08,0.014444444,0,7,1,1,1,7,9,11,1,4,5,2,0,0,0,0,3,0,4.16,1,1131,2,0,0,4
